PT,a,N,ROR,ROR_CI_lo,ROR_CI_hi,ROR_signal,PRR,PRR_chi2,PRR_p,PRR_signal,EBGM,EB05,EB95,IC,EBGM_signal,SIGNAL_COUNT
T-CELL LYMPHOMA,6,397209,2.8803210945686772,1.1727323703082935,7.074290620660829,True,2.87997912474153,5.840224087959918,0.01566383160324292,True,2.2347107159039714,1.1722086466754598,4.260275675272911,1.1600880861099114,False,2
CHAPPED LIPS,16,397209,2.804664428318712,1.620059036671849,4.855466607955259,True,2.8037892008065692,14.80969217327112,0.0001189227306844638,True,2.336612245705586,1.558511371733838,3.5031870063978694,1.2244183427594064,False,2
CHEILITIS,14,397209,2.1471379041958536,1.2110956073629546,3.806636859721452,True,2.1466511068675294,7.180542300464449,0.007369842815627817,True,1.8971844771966022,1.2316722131120303,2.922294505143926,0.923859969417122,False,2
BLISTER,204,397209,2.069012879334043,1.7809520486690862,2.4036662289976984,True,2.062402633285602,94.37825530936162,2.6063976077777906e-22,True,1.8910337100804504,1.6855492308114692,2.1215687013419626,0.9191750813904853,False,2
BLEEDING TIME PROLONGED,3,397209,8.280602037104401,1.8531715628256633,37.00055163394937,True,8.2799399836319,10.972845612756926,0.000924566779420385,True,3.2365475745649723,1.3434188057696768,7.797449430835447,1.6944557104499292,False,2
ASTHENOPIA,18,397209,1.8576507371791875,1.1273399841495433,3.0610696949116787,True,1.8571828000669681,6.0978284914886,0.013534810170507689,False,1.7000350146252863,1.1597379984722391,2.492044802152939,0.7655644610135872,False,1
BLOOD PRESSURE MEASUREMENT,3,397209,3.6802170486237418,0.9962634657623666,13.59479494173424,False,3.6799733260586223,4.391490129291917,0.03611873210853171,True,2.33850241338679,0.9706602628585964,5.633890400860569,1.2255849176511695,False,1
BRONCHITIS,167,397209,1.6006719942418597,1.360371421721057,1.8834200661968765,True,1.5976314006545662,32.723250209047556,1.0625857941739851e-08,False,1.5197108236119077,1.3383215849285985,1.7256846287257626,0.6037968282536648,False,1
CHEST DISCOMFORT,250,397209,1.3643694127929076,1.195808940987536,1.5566900620659148,True,1.361608285418829,21.495722281608153,3.546188384360465e-06,False,1.3210571994068199,1.1906474952471544,1.465750468607271,0.4016929340442583,False,1
CHOKING,45,397209,1.4575049761513241,1.0678641846450823,1.989317355195236,True,1.4568809355364047,5.701430634109919,0.016951090683485347,False,1.3974195574690906,1.0950021617521635,1.7833585063178081,0.48276523664221577,False,1
CHRONIC SINUSITIS,15,397209,1.9956189386366427,1.1513530748748702,3.4589693076366346,True,1.9951662611161205,6.307578065215844,0.012022296020999012,False,1.7940668279559318,1.1813461530538614,2.724583116346855,0.8432336308173418,False,1
